text_a,text_b,label,notes
"The double barrelled detective story by Mark Twain is an incredible piece of classic literature.","The double barrelled detective story by Mark Twain is an incredible piece of classic literature.",1,"Exact duplicate"
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",1,"Exact duplicate"
"Machine learning models require high quality data.","Machine learning models require high quality data.",1,"Exact duplicate"
"Distributed systems are difficult to debug.","Distributed systems are difficult to debug.",1,"Exact duplicate"
"Modern databases use sophisticated indexing techniques.","Modern databases use sophisticated indexing techniques.",1,"Exact duplicate"
"Artificial intelligence is transforming software engineering.","Artificial intelligence is transforming software engineering.",1,"Exact duplicate"
"Cloud computing enables elastic resource allocation.","Cloud computing enables elastic resource allocation.",1,"Exact duplicate"
"Operating systems manage hardware resources efficiently.","Operating systems manage hardware resources efficiently.",1,"Exact duplicate"
"The cat slept peacefully on the windowsill.","The cat slept peacefully on the windowsill.",1,"Exact duplicate"
"Cybersecurity requires constant vigilance.","Cybersecurity requires constant vigilance.",1,"Exact duplicate"
"The double barrelled detective story by Mark Twain is an incredible piece of classic literature!","The Double Barrelled Detective Story by Mark Twain is an incredible piece of classic literature.",1,"Capitalization and punctuation"
"The weather today is sunny with scattered clouds.","Today the weather is sunny with scattered clouds.",1,"Word order"
"Deep learning has revolutionized image recognition.","Image recognition has been revolutionized by deep learning.",1,"Passive voice"
"Python is a versatile programming language.","Python is an extremely versatile programming language.",1,"Added adjective"
"The meeting starts at nine in the morning.","The meeting begins at 9 AM.",1,"Paraphrase"
"The algorithm completed in linear time.","The algorithm finished in O(n) time.",1,"Equivalent expression"
"The database server crashed unexpectedly.","The database server failed unexpectedly.",1,"Synonym"
"Students submitted their assignments before the deadline.","All students handed in their assignments before the deadline.",1,"Paraphrase"
"The scientist conducted several experiments.","Several experiments were carried out by the scientist.",1,"Passive voice"
"The software passed every unit test successfully.","Every unit test was successfully passed by the software.",1,"Passive voice"
"A large language model can answer complex questions.","A powerful language model is capable of answering difficult questions.",1,"Paraphrase"
"The conference attracted researchers from around the world.","Researchers from all over the world attended the conference.",1,"Paraphrase"
"The package arrived two days earlier than expected.","The package arrived earlier than expected by two days.",1,"Word order"
"Version control systems track changes in source code.","Source code changes are tracked by version control systems.",1,"Passive voice"
"Data compression reduces storage requirements.","Reducing storage requirements is achieved through data compression.",1,"Paraphrase"
"The football match ended in a draw.","The soccer game finished without a winner.",1,"Synonym"
"Efficient caching significantly improves application performance.","Application performance improves significantly through efficient caching.",1,"Paraphrase"
"Natural language processing enables computers to understand text.","Computers can understand text thanks to natural language processing.",1,"Paraphrase"
"Encryption protects sensitive information during transmission.","Sensitive information is protected during transmission by encryption.",1,"Passive voice"
"The chef prepared a delicious three-course meal.","The cook made a delicious three course meal.",1,"Synonym"
"The Eiffel Tower is located in Paris.","Bananas are rich in potassium.",0,"Completely unrelated"
"Machine learning models require high quality data.","My favorite movie was released in 1999.",0,"Unrelated"
"The cat slept peacefully on the windowsill.","Quantum computers exploit superposition.",0,"Unrelated"
"Cloud computing enables elastic resource allocation.","The ancient Romans built impressive aqueducts.",0,"Unrelated"
"Distributed systems are difficult to debug.","Coffee beans are roasted before brewing.",0,"Unrelated"
"Cybersecurity requires constant vigilance.","Mount Everest is the tallest mountain above sea level.",0,"Unrelated"
"The meeting starts at nine in the morning.","Penguins cannot fly.",0,"Unrelated"
"Version control systems track changes in source code.","Chocolate ice cream is my favorite dessert.",0,"Unrelated"
"Data compression reduces storage requirements.","Whales are the largest mammals.",0,"Unrelated"
"The software passed every unit test successfully.","My bicycle has a flat tire.",0,"Unrelated"
"Artificial intelligence is transforming software engineering.","The museum displays ancient pottery.",0,"Unrelated"
"The football match ended in a draw.","A telescope helps astronomers observe distant galaxies.",0,"Unrelated"
"The package arrived two days earlier than expected.","Rainforests contain incredible biodiversity.",0,"Unrelated"
"The algorithm completed in linear time.","The pianist performed beautifully last night.",0,"Unrelated"
"Encryption protects sensitive information during transmission.","The bakery sells fresh bread every morning.",0,"Unrelated"
"Python is a versatile programming language.","The ocean is home to many species of fish.",0,"Unrelated"
"The scientist conducted several experiments.","My dog enjoys chasing tennis balls.",0,"Unrelated"
"Natural language processing enables computers to understand text.","The airplane landed safely after the storm.",0,"Unrelated"
"The conference attracted researchers from around the world.","The gardener planted roses in the backyard.",0,"Unrelated"
"Operating systems manage hardware resources efficiently.","Elephants have remarkable memories.",0,"Unrelated"
"The chef prepared a delicious three-course meal.","A volcano erupted thousands of years ago.",0,"Unrelated"
"Students submitted their assignments before the deadline.","The artist painted a colorful landscape.",0,"Unrelated"
"The quick brown fox jumps over the lazy dog.","A submarine travels beneath the ocean.",0,"Unrelated"
"The database server crashed unexpectedly.","Winter temperatures dropped below freezing.",0,"Unrelated"
"The weather today is sunny with scattered clouds.","Basketball players are usually very tall.",0,"Unrelated"
"A large language model can answer complex questions.","The river flows into the sea.",0,"Unrelated"
"Modern databases use sophisticated indexing techniques.","The child built a sandcastle on the beach.",0,"Unrelated"
"Efficient caching significantly improves application performance.","The orchestra rehearsed for several hours.",0,"Unrelated"
"The double barrelled detective story by Mark Twain is an incredible piece of classic literature.","The stock market experienced significant volatility today.",0,"Different topic"
"The cat slept peacefully on the windowsill.","The CPU executed billions of instructions per second.",0,"Different topic"